,name,ELO_ranking
0,Chelsea,1889
1,Manchester City,1880
2,Arsenal,1849
3,Manchester United,1808
4,Tottenham,1728
5,Liverpool,1750
6,Everton,1704
7,Stoke,1696
8,West Ham,1594
9,Southampton,1716
10,Newcastle United,1585
11,Swansea,1668
12,Crystal Palace,1645
13,Leicester,1631
14,Watford,1572
15,West Bromwich Albion,1633
16,Sunderland,1603
17,Aston Villa,1576
18,Norwich,1613
19,Bournemouth,1592
20,Hull,1590
21,Burnley,1638
22,Middlesbrough,1596
23,Queens Park Rangers,
24,Huddersfield,1474
25,Brighton,1582
26,Fulham,1620
27,Cardiff,1568
28,Wolverhampton Wanderers,1592
29,Sheffield United,1620
30,Leeds,1620
